,account,airdrop_sources,counts
119,0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,"['ENS', '1inch', 'Uniswap', 'HOP', 'Gitcoin']",5
120,0xef79d7b479e83f05122dc788707b4abdd415aee8,"['1inch', 'Gitcoin', 'Uniswap', 'ENS', 'HOP']",5
121,0xf9107317b0ff77ed5b7adea15e50514a3564002b,"['HOP', 'Gitcoin', 'Uniswap', '1inch', 'ENS']",5
122,0xfd89d3831c6973fb5ba0b82022142b54ad9e8d46,"['Uniswap', '1inch', 'HOP', 'Gitcoin', 'ENS']",5
123,0x36de990133d36d7e3df9a820aa3ede5a2320de71,"['Gitcoin', 'ENS', '1inch', 'Uniswap', 'HOP']",5
124,0x380336041fed6d3de0c0a1f5079668760cd64779,"['ENS', '1inch', 'Gitcoin', 'HOP', 'Uniswap']",5
125,0x930a7cd60a633128b7c5181307781e6d033ba51a,"['Uniswap', '1inch', 'ENS', 'HOP', 'Gitcoin']",5
126,0xa59e113fbef3b4129baef6b5355dff683851afa7,"['HOP', 'Uniswap', '1inch', 'Gitcoin', 'ENS']",5
127,0x1c494f1919c1512ebe74a5dcc17dac9a64069023,"['HOP', '1inch', 'ENS', 'Uniswap', 'Gitcoin']",5
128,0x65b27ba7362ce3f241dafdfc03ef24d080e41413,"['HOP', 'Gitcoin', 'ENS', 'Uniswap', '1inch']",5
129,0x2e96ed2281c3069c6abeae5d9560f30f716d44b5,"['ENS', '1inch', 'Gitcoin', 'Uniswap', 'HOP']",5
130,0xe4fb9ca52e39b83be69e74e7fac8f807a9c16ef9,"['Uniswap', '1inch', 'HOP', 'Gitcoin', 'ENS']",5
131,0xfa396090b4dfd2bd86bbf6de63635d6e390b5de1,"['Gitcoin', '1inch', 'HOP', 'ENS', 'Uniswap']",5
132,0xae8ce6bb2b95684f57c097b407f4e9b55d9ca432,"['1inch', 'ENS', 'Uniswap', 'HOP', 'Gitcoin']",5
133,0x7eec35333afb0ab6996085727e1939f008840410,"['Uniswap', '1inch', 'HOP', 'Gitcoin', 'ENS']",5
